date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-07,212.68,216.23,208.8,209.95,50228984,2.00191,0.4221997,1.5797103
2025-07-08,210.1,211.43,208.45,210.01,42848928,2.1769208,0.7731439,1.4037769
2025-07-09,209.53,211.33,207.22,211.14,48749367,2.3793718,1.0943895,1.2849823
2025-07-10,210.5,213.48,210.03,212.41,44443635,2.6121824,1.3979481,1.2142344
2025-07-11,210.56,212.13,209.86,211.16,39765812,2.6651004,1.6513785,1.0137218
2025-07-14,209.92,210.91,207.54,208.62,38840111,2.4735677,1.8158164,0.6577513
2025-07-15,209.22,211.89,208.92,209.11,42296339,2.334406,1.9195343,0.4148717
2025-07-16,210.3,212.4,208.64,210.16,47490532,2.282534,1.9921342,0.2903997
2025-07-17,210.57,211.8,209.59,210.02,48068141,2.2047136,2.0346501,0.1700635
2025-07-18,210.87,211.79,209.7,211.18,48974591,2.2111539,2.0699509,0.141203
2025-07-21,212.1,215.78,211.63,212.48,51377434,2.2947051,2.1149017,0.1798034
2025-07-22,213.14,214.95,212.23,214.4,46404072,2.4871773,2.1893568,0.2978205
2025-07-23,215.0,215.15,212.41,214.15,46989301,2.5896877,2.269423,0.3202647
2025-07-24,213.9,215.69,213.53,213.76,46022620,2.6093789,2.3374142,0.2719647
2025-07-25,214.7,215.24,213.4,213.88,40268781,2.6046426,2.3908599,0.2137828
2025-07-28,214.03,214.84,213.06,214.05,37858017,2.5848106,2.42965,0.1551606
2025-07-29,214.18,214.81,210.82,211.27,51411723,2.3180498,2.40733,-0.0892802
2025-07-30,211.9,212.39,207.72,209.05,45512514,1.9055386,2.3069717,-0.4014331
2025-07-31,208.49,209.84,207.16,207.57,80698431,1.4425678,2.1340909,-0.6915231
2025-08-01,210.86,213.58,201.5,202.38,104434473,0.6493848,1.8371497,-1.1877649
2025-08-04,204.5,207.88,201.68,203.35,75109298,0.0979237,1.4893045,-1.3913808
2025-08-05,203.4,205.34,202.16,202.92,44155079,-0.3695507,1.1175335,-1.4870841
2025-08-06,205.63,215.38,205.59,213.25,108483103,0.0924514,0.9125171,-0.8200656
2025-08-07,218.88,220.85,216.58,220.03,90224834,0.99422,0.9288577,0.0653624
2025-08-08,220.83,231.0,219.25,229.35,113853967,2.4328796,1.229662,1.2032175
2025-08-11,227.92,229.56,224.76,227.18,61806132,3.3592039,1.6555704,1.7036335
2025-08-12,228.0,230.8,227.07,229.65,55672301,4.2437121,2.1731987,2.0705134
2025-08-13,231.07,235.0,230.43,233.33,69878546,5.1819027,2.7749395,2.4069632
2025-08-14,234.06,235.12,230.85,232.78,51916275,5.8140247,3.3827566,2.4312681
2025-08-15,234.0,234.28,229.34,231.59,56038657,6.1480915,3.9358236,2.2122679
2025-08-18,231.7,233.12,230.11,230.89,37476188,6.2839205,4.4054429,1.8784776
2025-08-19,231.28,232.87,229.35,230.56,39402564,6.2924029,4.7828349,1.509568
2025-08-20,229.98,230.47,225.77,226.01,42263865,5.8643774,4.9991434,0.8652339
2025-08-21,226.27,226.52,223.78,224.9,30621249,5.3736522,5.0740452,0.299607
2025-08-22,226.17,229.09,225.41,227.76,42477811,5.1560909,5.0904543,0.0656366
2025-08-25,226.48,229.3,226.23,227.16,30983133,4.8790147,5.0481664,-0.1691517
2025-08-26,226.87,229.49,224.69,229.31,54575107,4.7778409,4.9941013,-0.2162604
2025-08-27,228.61,230.9,228.26,230.49,31259513,4.7382564,4.9429323,-0.2046759
2025-08-28,230.82,233.41,229.34,232.56,38074700,4.8183739,4.9180206,-0.0996467
2025-08-29,232.51,233.38,231.37,232.14,39418437,4.7927295,4.8929624,-0.1002329
2025-09-02,229.25,230.85,226.97,229.72,44075638,4.5249713,4.8193642,-0.2943929
2025-09-03,237.21,238.85,234.36,238.47,66427835,4.9616283,4.847817,0.1138113
2025-09-04,238.45,239.9,236.74,239.78,47549429,5.3516972,4.9485931,0.4031041
2025-09-05,240.0,241.32,238.49,239.69,54870397,5.5891392,5.0767023,0.5124369
2025-09-08,239.3,240.15,236.34,237.88,48999495,5.5670879,5.1747794,0.3923085
2025-09-09,237.0,238.78,233.36,234.35,66313918,5.2047732,5.1807781,0.023995
2025-09-10,232.18,232.42,225.95,226.79,83440810,4.2585178,4.9963261,-0.7378083
2025-09-11,226.88,230.45,226.65,230.03,50208578,3.7270811,4.7424771,-1.015396
2025-09-12,229.22,234.51,229.02,234.07,55824216,3.5905186,4.5120854,-0.9215668
2025-09-15,237.0,238.19,235.03,236.7,42699524,3.6524082,4.3401499,-0.6877418
2025-09-16,237.18,241.22,236.32,238.15,63421099,3.7749438,4.2271087,-0.4521649
2025-09-17,238.97,240.1,237.73,238.99,46508017,3.8949367,4.1606743,-0.2657376
2025-09-18,239.97,241.2,236.65,237.88,44249576,3.8560145,4.0997424,-0.2437278
2025-09-19,241.22,246.3,240.21,245.5,163741314,4.38944,4.1576819,0.2317581
2025-09-22,248.3,256.64,248.12,256.08,105517416,5.6013324,4.446412,1.1549204
2025-09-23,255.88,257.34,253.58,254.43,60275187,6.355364,4.8282024,1.5271616
2025-09-24,255.22,255.74,251.04,252.31,42303710,6.7045869,5.2034793,1.5011076
2025-09-25,253.2,257.17,251.71,256.87,55202075,7.2655497,5.6158934,1.6496563
2025-09-26,254.1,257.6,253.78,255.46,46076258,7.5097736,5.9946694,1.5151041
2025-09-29,254.56,255.0,253.01,254.43,40127687,7.5333703,6.3024096,1.2309607
2025-09-30,254.86,255.92,253.11,254.63,37704259,7.4819619,6.5383201,0.9436418
2025-10-01,255.04,258.79,254.93,255.45,48713940,7.4218332,6.7150227,0.7068105
2025-10-02,256.58,258.18,254.15,257.13,42630239,7.4241616,6.8568505,0.5673111
2025-10-03,254.66,259.24,253.95,258.02,49155614,7.4123772,6.9679558,0.4444214
2025-10-06,257.99,259.07,255.05,256.69,44664118,7.212576,7.0168798,0.1956961
2025-10-07,256.8,257.4,255.43,256.48,31955776,6.9570898,7.0049218,-0.047832
2025-10-08,256.52,258.52,256.11,258.06,36496895,6.8036794,6.9646734,-0.1609939
2025-10-09,257.8,258.0,253.14,254.04,38322012,6.2852675,6.8287922,-0.5435247
2025-10-10,254.94,256.38,244.0,245.27,61999098,5.1078762,6.484609,-1.3767328
2025-10-13,249.38,249.69,245.56,247.66,38142942,4.3178645,6.0512601,-1.7333956
2025-10-14,246.6,248.84,244.7,247.77,35477986,3.658478,5.5727037,-1.9142257
2025-10-15,249.48,251.82,247.47,249.34,33893611,3.2254147,5.1032459,-1.8778312
