date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-09-15,230.62,233.73,230.32,231.43,33243328,1.7344017,1.9554582,-0.2210565
2025-09-16,232.94,235.9,232.23,234.05,38203912,1.8706517,1.9384969,-0.0678451
2025-09-17,233.77,234.3,228.71,231.62,42815230,1.7622363,1.9032448,-0.1410085
2025-09-18,232.5,233.48,228.79,231.23,37931738,1.6261018,1.8478162,-0.2217144
2025-09-19,232.37,234.16,229.7,231.48,97943172,1.5208557,1.7824241,-0.2615684
2025-09-22,230.56,230.56,227.51,227.63,45914506,1.1139437,1.648728,-0.5347843
2025-09-23,227.83,227.86,220.07,220.71,70956193,0.2304207,1.3650665,-1.1346458
2025-09-24,224.15,224.56,219.45,220.21,49509033,-0.5043101,0.9911912,-1.4955013
2025-09-25,220.06,220.67,216.47,218.15,52226328,-1.2385372,0.5452455,-1.7837828
2025-09-26,219.08,221.05,218.02,219.78,41650098,-1.6696435,0.1022677,-1.7719113
2025-09-29,220.08,222.6,219.3,222.17,44259177,-1.7977224,-0.2777303,-1.519992
2025-09-30,222.03,222.24,217.89,219.57,48396369,-2.0849895,-0.6391822,-1.4458074
2025-10-01,217.36,222.15,216.61,220.63,43933834,-2.2017374,-0.9516932,-1.2500442
2025-10-02,221.01,222.81,218.94,222.41,41258586,-2.1261213,-1.1865788,-0.9395425
2025-10-03,223.44,224.2,219.34,219.51,43639033,-2.2739876,-1.4040606,-0.869927
2025-10-06,221.0,221.73,216.03,220.9,43690876,-2.2530397,-1.5738564,-0.6791833
2025-10-07,220.88,222.89,220.17,221.78,31194678,-2.1407524,-1.6872356,-0.4535168
2025-10-08,222.92,226.73,221.19,225.22,46685985,-1.753966,-1.7005817,-0.0533843
2025-10-09,225.0,228.21,221.75,227.74,46412122,-1.2299144,-1.6064482,0.3765338
2025-10-10,226.21,228.25,216.0,216.37,72367511,-1.7123251,-1.6276236,-0.0847015
2025-10-13,217.7,220.68,217.04,220.07,37809650,-1.7756118,-1.6572212,-0.1183906
2025-10-14,215.56,219.32,212.6,216.39,45665580,-2.0985218,-1.7454814,-0.3530404
2025-10-15,216.62,217.71,212.66,215.57,45909469,-2.3930123,-1.8749875,-0.5180247
2025-10-16,215.67,218.59,212.81,214.47,42414591,-2.6842169,-2.0368334,-0.6473835
2025-10-17,214.56,214.8,211.03,213.04,45986944,-2.9958534,-2.2286374,-0.767216
2025-10-20,213.88,216.69,213.59,216.48,38882819,-2.9314563,-2.3692012,-0.5622551
2025-10-21,218.43,223.32,217.99,222.03,50494565,-2.4048608,-2.3763331,-0.0285277
2025-10-22,219.3,220.0,216.52,217.95,44308538,-2.2903502,-2.3591365,0.0687863
2025-10-23,219.0,221.3,218.18,221.09,31539999,-1.9240488,-2.272119,0.3480702
2025-10-24,221.97,225.4,221.9,224.21,38685053,-1.3662451,-2.0909442,0.7246991
2025-10-27,227.66,228.4,225.54,226.97,38266995,-0.6934788,-1.8114511,1.1179724
2025-10-28,228.22,231.48,226.21,229.25,47100026,0.0234006,-1.4444808,1.4678814
2025-10-29,231.67,232.82,227.76,230.3,52036151,0.6685523,-1.0218742,1.6904264
2025-10-30,227.06,228.44,222.75,222.86,102252937,0.5728899,-0.7029214,1.2758112
2025-10-31,250.1,250.5,243.98,244.22,166340808,2.1953436,-0.1232684,2.318612
2025-11-03,255.36,258.6,252.9,254.0,95997816,4.2216497,0.7457152,3.4759344
2025-11-04,250.38,257.01,248.66,249.32,51546311,5.3877681,1.6741258,3.7136423
2025-11-05,249.03,251.0,246.16,250.2,40610702,6.310194,2.6013394,3.7088545
2025-11-06,249.16,250.38,242.17,243.04,46004203,6.3898132,3.3590342,3.030779
2025-11-07,242.9,244.9,238.49,244.41,46374294,6.4886623,3.9849598,2.5037025
2025-11-10,248.34,251.75,245.59,248.4,36476514,6.8104539,4.5500586,2.2603953
2025-11-11,248.41,249.75,247.23,249.1,23564060,7.0407982,5.0482065,1.9925917
2025-11-12,250.24,250.37,243.75,244.2,31190063,6.7501473,5.3885947,1.3615526
2025-11-13,243.05,243.75,236.5,237.58,41401738,5.9174134,5.4943584,0.4230549
2025-11-14,235.06,238.73,232.89,234.69,38956669,4.9670103,5.3888888,-0.4218785
2025-11-17,233.25,234.6,229.19,232.87,59919018,4.0206032,5.1152317,-1.0946285
2025-11-18,228.1,230.2,222.42,222.55,60608442,2.4100494,4.5741952,-2.1641458
2025-11-19,223.74,223.74,218.52,222.69,58335643,1.1319227,3.8857407,-2.753818
2025-11-20,227.05,227.41,216.74,217.14,50308962,-0.325093,3.043574,-3.368667
2025-11-21,216.34,222.21,215.18,220.69,68490464,-1.179734,2.1989124,-3.3786464
2025-11-24,222.56,227.33,222.27,226.28,54318395,-1.3899543,1.4811391,-2.8710933
2025-11-25,226.38,230.52,223.8,229.67,39379339,-1.2683895,0.9312333,-2.1996228
2025-11-26,230.74,231.75,228.77,229.16,38497922,-1.1993756,0.5051116,-1.7044871
2025-11-28,231.24,233.28,230.22,233.22,20292329,-0.8077621,0.2425368,-1.050299
2025-12-01,233.22,235.8,232.25,233.88,42903954,-0.4390876,0.1062119,-0.5452996
