date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-14,181.01,183.67,179.68,181.56,32536632,2.5747143,2.2570439,0.3176705
2025-07-15,182.81,184.22,181.6,182.0,33448251,2.7663799,2.3589111,0.4074688
2025-07-16,183.24,184.33,182.03,182.97,33104193,2.9623985,2.4796086,0.4827899
2025-07-17,182.14,184.06,180.48,183.58,31992565,3.1308758,2.609862,0.5210137
2025-07-18,185.4,186.42,183.71,185.06,34014509,3.3452568,2.756941,0.5883158
2025-07-21,186.25,190.28,186.15,190.1,45803129,3.8771478,2.9809823,0.8961655
2025-07-22,191.5,191.64,187.46,191.34,44660215,4.3486049,3.2545069,1.0940981
2025-07-23,191.5,192.53,189.18,190.23,58681948,4.5798764,3.5195808,1.0602956
2025-07-24,197.03,197.95,191.0,192.17,74881687,4.8636375,3.7883921,1.0752454
2025-07-25,191.98,194.33,191.26,193.18,39785863,5.1111012,4.0529339,1.0581673
2025-07-28,193.65,194.05,190.84,192.58,38139504,5.1988736,4.2821219,0.9167517
2025-07-29,192.43,195.92,192.08,195.75,41389153,5.4612722,4.5179519,0.9433203
2025-07-30,195.6,197.6,194.68,196.53,32445405,5.6668406,4.7477297,0.919111
2025-07-31,195.71,195.99,191.09,191.9,51329163,5.3939745,4.8769786,0.5169958
2025-08-01,189.02,190.83,187.82,189.13,34832181,4.8977519,4.8811333,0.0166186
2025-08-04,190.29,195.27,190.12,195.04,31547350,4.9246118,4.889829,0.0347828
2025-08-05,194.71,197.86,193.88,194.67,31602340,4.8600192,4.883867,-0.0238478
2025-08-06,194.5,196.63,193.67,196.09,21562908,4.867304,4.8805544,-0.0132504
2025-08-07,197.06,197.54,194.33,196.52,26321811,4.8518456,4.8748127,-0.0229671
2025-08-08,197.22,202.61,197.17,201.42,39161826,5.1753258,4.9349153,0.2404105
2025-08-11,200.94,201.48,199.07,201.0,25832435,5.3362824,5.0151887,0.3210937
2025-08-12,201.36,204.5,200.59,203.34,30424452,5.5882423,5.1297994,0.4584429
2025-08-13,204.13,204.53,197.51,201.96,28342922,5.6118777,5.2262151,0.3856626
2025-08-14,201.5,204.44,201.22,202.94,25230427,5.644619,5.3098959,0.3347231
2025-08-15,203.85,206.44,201.28,203.9,34931422,5.6825261,5.3844219,0.2981042
2025-08-18,204.2,205.26,202.49,203.5,18526594,5.6155584,5.4306492,0.1849092
2025-08-19,203.03,203.44,199.96,201.57,24240233,5.3451358,5.4135465,-0.0684107
2025-08-20,200.73,201.28,196.6,199.32,28955498,4.8928658,5.3094104,-0.4165446
2025-08-21,199.74,202.48,199.43,199.75,19774633,4.5170661,5.1509415,-0.6338755
2025-08-22,202.73,208.54,201.3,206.09,42827040,4.6769145,5.0561361,-0.3792216
2025-08-25,206.43,210.52,205.28,208.49,29928878,4.9403067,5.0329703,-0.0926635
2025-08-26,207.51,207.85,205.7,207.14,28464130,4.9826761,5.0229114,-0.0402354
2025-08-27,205.7,208.91,205.65,207.48,23022850,4.9862113,5.0155714,-0.0293601
2025-08-28,207.25,212.22,206.9,211.64,32339307,5.2640099,5.0652591,0.1987509
2025-08-29,210.51,214.64,210.2,212.91,39728364,5.5229803,5.1568033,0.366177
2025-09-02,208.44,211.68,206.2,211.35,47523037,5.5384929,5.2331413,0.3053517
2025-09-03,226.21,231.31,224.79,230.66,103336125,7.0279288,5.5920988,1.4358301
2025-09-04,229.65,232.37,226.11,232.3,51684167,8.2456016,6.1227993,2.1228023
2025-09-05,232.2,235.76,231.9,235.0,46588925,9.3210364,6.7624468,2.5585897
2025-09-08,235.47,238.13,233.67,234.04,32474743,9.9808097,7.4061193,2.5746904
2025-09-09,234.16,240.47,233.23,239.63,38060959,10.8299106,8.0908776,2.739033
2025-09-10,238.9,241.66,237.85,239.17,35141074,11.3350477,8.7397116,2.5953361
2025-09-11,239.88,242.25,236.25,240.37,30599328,11.6973625,9.3312418,2.3661207
2025-09-12,240.37,242.08,238.0,240.8,26771610,11.8822261,9.8414386,2.0407874
2025-09-15,244.66,252.41,244.66,251.61,58383796,12.7539884,10.4239486,2.3300398
2025-09-16,252.08,253.04,249.47,251.16,34109720,13.2557511,10.9903091,2.265442
2025-09-17,251.22,251.6,246.28,249.53,34107992,13.3677788,11.465803,1.9019758
2025-09-18,251.68,253.99,249.8,252.03,31239474,13.5026406,11.8731706,1.6294701
2025-09-19,253.25,256.0,251.81,254.72,55571424,13.6690123,12.2323389,1.4366734
2025-09-22,254.43,255.78,250.3,252.53,32290538,13.4688873,12.4796486,0.9892388
2025-09-23,253.04,254.36,250.48,251.66,26628016,13.089201,12.6015591,0.4876419
2025-09-24,251.66,252.35,246.44,247.14,28201003,12.2819915,12.5376455,-0.2556541
2025-09-25,244.4,246.49,240.74,245.79,31020383,11.4019043,12.3104973,-0.908593
2025-09-26,247.06,249.42,245.97,246.54,18503194,10.6422702,11.9768519,-1.3345817
2025-09-29,247.85,251.15,242.77,244.05,32505777,9.7272033,11.5269222,-1.7997188
2025-09-30,242.81,243.29,239.24,243.1,34724346,8.8236358,10.9862649,-2.1626291
2025-10-01,240.75,246.3,238.61,244.9,31658234,8.158748,10.4207615,-2.2620135
2025-10-02,245.15,246.81,242.3,245.69,25483298,7.6078673,9.8581827,-2.2503154
2025-10-03,244.49,246.3,241.66,245.35,30249559,7.0624437,9.2990349,-2.2365911
2025-10-06,244.78,251.32,244.58,250.43,28894653,6.9598761,8.8312031,-1.8713271
2025-10-07,248.27,250.44,245.52,245.76,23181285,6.4276663,8.3504958,-1.9228294
2025-10-08,244.96,246.0,243.82,244.62,21307104,5.846503,7.8496972,-2.0031942
2025-10-09,244.47,244.76,239.15,241.53,27892086,5.078053,7.2953684,-2.2173153
2025-10-10,241.43,244.09,235.84,236.57,33180323,4.022452,6.6407851,-2.6183331
2025-10-13,240.21,244.5,239.71,244.15,24995028,3.7542467,6.0634774,-2.3092308
2025-10-14,241.23,247.12,240.51,245.45,22111572,3.6050345,5.5717888,-1.9667543
2025-10-15,247.24,252.11,245.99,251.03,27007690,3.8921756,5.2358662,-1.3436906
2025-10-16,251.76,256.96,250.1,251.46,27997159,4.1070904,5.010111,-0.9030206
2025-10-17,250.76,254.22,247.81,253.3,29671629,4.3754471,4.8831783,-0.5077311
2025-10-20,254.69,257.33,254.23,256.55,22350155,4.7950947,4.8655616,-0.0704668
2025-10-21,254.74,254.88,244.15,250.46,47312098,4.5834216,4.8091336,-0.225712
2025-10-22,254.37,256.36,249.29,251.69,35029370,4.4634677,4.7400004,-0.2765327
2025-10-23,252.98,255.04,251.85,253.08,19901425,4.4295042,4.6779011,-0.248397
2025-10-24,256.58,261.68,255.32,259.92,28655126,4.898057,4.7219323,0.1761247
2025-10-27,264.82,270.14,264.28,269.27,35235231,5.9552073,4.9685873,0.98662
2025-10-28,269.69,270.73,266.5,267.47,29738564,6.5720037,5.2892706,1.2827331
2025-10-29,267.75,275.34,267.67,274.57,43580277,7.5467359,5.7407636,1.8059722
2025-10-30,291.59,291.59,280.06,281.48,74875990,8.7756373,6.3477384,2.4278989
2025-10-31,283.21,286.0,277.03,281.19,39267945,9.6153106,7.0012528,2.6140578
2025-11-03,282.18,285.53,279.8,283.72,29785996,10.3654215,7.6740866,2.691335
2025-11-04,276.75,281.27,276.26,277.54,30078369,10.3419993,8.2076691,2.1343302
2025-11-05,278.87,286.42,277.34,284.31,31010302,10.7458481,8.7153049,2.0305431
2025-11-06,285.33,288.35,281.14,284.75,37173648,10.9748937,9.1672227,1.807671
2025-11-07,283.2,283.78,275.19,278.83,34479588,10.5570246,9.445183,1.1118416
2025-11-10,284.42,290.8,282.86,290.1,29557309,11.0083577,9.757818,1.2505397
2025-11-11,287.74,291.92,287.32,291.31,19842136,11.3330391,10.0728622,1.2601769
2025-11-12,291.68,292.0,283.69,286.71,24829923,11.0913161,10.276553,0.8147631
2025-11-13,282.34,282.84,277.24,278.57,29494040,10.1261905,10.2464805,-0.12029
2025-11-14,271.4,278.56,270.7,276.41,31647227,9.0823321,10.0136508,-0.9313187
2025-11-17,285.77,293.95,283.57,285.02,52670192,8.8478295,9.7804865,-0.932657
2025-11-18,287.92,288.8,278.2,284.28,49158743,8.5042411,9.5252375,-1.0209963
2025-11-19,287.16,303.81,286.63,292.81,68198944,8.8185894,9.3839078,-0.5653185
2025-11-20,304.54,306.42,288.67,289.45,62025218,8.6963427,9.2463948,-0.5500521
2025-11-21,296.42,303.92,293.85,299.66,74137697,9.3159347,9.2603028,0.0556319
2025-11-24,311.13,319.48,309.6,318.58,85165123,11.2044932,9.6491409,1.5553524
2025-11-25,326.21,328.83,317.65,323.44,88632074,12.9441389,10.3081405,2.6359984
2025-11-26,320.68,324.5,316.79,319.95,51373361,13.8811931,11.022751,2.8584421
2025-11-28,323.36,326.85,316.79,320.18,26018568,14.4755097,11.7133027,2.7622069
2025-12-01,317.7,319.85,313.89,314.89,41182956,14.3541849,12.2414792,2.1127058
2025-12-02,316.74,318.38,313.91,315.81,35854744,14.1689398,12.6269713,1.5419685
2025-12-03,315.89,321.58,314.1,319.63,41838317,14.1670647,12.93499,1.2320747
2025-12-04,322.23,322.36,314.7,317.62,31240924,13.8438056,13.1167531,0.7270525
2025-12-05,319.49,323.16,319.17,321.27,28851705,13.7239439,13.2381913,0.4857527
2025-12-08,320.05,320.44,311.22,313.72,33909433,12.8713578,13.1648246,-0.2934668
2025-12-09,312.37,317.99,311.9,317.08,30194027,12.3247292,12.9968055,-0.6720763
2025-12-10,315.83,321.31,314.68,320.21,33428923,12.0056928,12.798583,-0.7928901
2025-12-11,320.08,321.12,308.6,312.43,42353697,10.9982918,12.4385247,-1.440233
2025-12-12,313.7,314.87,305.56,309.29,35940170,9.8331964,11.9174591,-2.0842626
2025-12-15,311.32,311.42,304.88,308.22,29151889,8.7229571,11.2785587,-2.5556016
2025-12-16,304.94,310.77,302.59,306.57,30585020,7.6220806,10.5472631,-2.9251824
2025-12-17,308.01,308.09,296.12,296.72,43930358,5.8869543,9.6152013,-3.728247
2025-12-18,301.72,303.96,299.23,302.46,33518048,4.9183287,8.6758268,-3.7574981
2025-12-19,301.73,307.25,300.97,307.16,59943239,4.4783135,7.8363241,-3.3580106
2025-12-22,309.88,310.13,305.3,309.78,26429937,4.2915402,7.1273673,-2.8358272
2025-12-23,309.62,314.94,309.32,314.35,25478670,4.4608598,6.5940658,-2.1332061
2025-12-24,314.77,315.08,311.92,314.09,10097361,4.5219408,6.1796408,-1.6577
2025-12-26,314.48,315.08,312.27,313.51,10899017,4.4719964,5.8381119,-1.3661155
2025-12-29,311.36,314.02,310.62,313.56,19621777,4.3858919,5.5476679,-1.161776
2025-12-30,312.5,316.95,312.46,313.85,17380888,4.2915833,5.296451,-1.0048677
2025-12-31,312.85,314.58,311.44,313.0,16377689,4.1009816,5.0573571,-0.9563755
2026-01-02,316.9,322.5,310.33,315.15,32009385,4.076425,4.8611707,-0.7847457
2026-01-05,317.65,319.02,314.63,316.54,30195597,4.1216136,4.7132593,-0.5916457
2026-01-06,316.4,320.94,311.78,314.34,31212101,3.9345493,4.5575173,-0.622968
2026-01-07,314.36,326.15,314.19,321.98,35104425,4.3526094,4.5165357,-0.1639263
2026-01-08,328.96,330.32,321.5,325.44,31896101,4.9065585,4.5945403,0.3120182
2026-01-09,327.09,330.83,325.8,328.57,26214166,5.5343355,4.7824993,0.7518362
2026-01-12,325.8,334.04,325.0,331.86,33923928,6.2255644,5.0711123,1.1544521
2026-01-13,334.95,340.49,333.62,335.97,33517607,7.0240422,5.4616983,1.5623439
2026-01-14,335.06,336.52,330.48,335.84,28525571,7.5592137,5.8812014,1.6780123
2026-01-15,337.65,337.69,330.74,332.78,28442406,7.6482602,6.2346132,1.4136471
2026-01-16,334.41,334.65,327.7,330.0,40341637,7.4091,6.4695105,0.9395894
2026-01-20,320.87,327.73,320.43,322.0,35361045,6.4991129,6.475431,0.0236819
2026-01-21,320.92,332.48,319.35,328.38,35386603,6.2210419,6.4245532,-0.2035113
2026-01-22,334.45,335.15,328.75,330.54,26253640,6.1045927,6.3605611,-0.2559684
2026-01-23,332.48,333.69,327.45,327.93,27279974,5.7355844,6.2355657,-0.4999813
2026-01-26,327.8,335.84,327.0,333.26,26042120,5.8062977,6.1497121,-0.3434144
2026-01-27,335.36,337.91,333.48,334.55,21636164,5.8984373,6.0994572,-0.2010199
2026-01-28,336.06,337.54,331.94,336.01,27434434,6.019875,6.0835407,-0.0636658
2026-01-29,340.3,342.29,326.54,338.25,39785612,6.2251053,6.1118536,0.1132517
2026-01-30,340.0,340.0,332.28,338.0,31023954,6.295014,6.1484857,0.1465283
2026-02-02,336.22,344.83,335.63,343.69,32006052,6.7319508,6.2651787,0.466772
2026-02-03,347.34,349.0,337.47,339.71,36506709,6.6800699,6.348157,0.331913
2026-02-04,342.96,343.31,328.52,333.04,70618398,6.0312166,6.2847689,-0.2535523
2026-02-05,312.22,332.69,306.46,331.25,88205849,5.3113319,6.0900815,-0.7787496
2026-02-06,327.18,330.38,319.92,322.86,56380484,4.0175039,5.675566,-1.6580621
2026-02-09,320.93,327.7,317.26,324.32,39640055,3.0745047,5.1553537,-2.080849
2026-02-10,320.97,321.67,314.61,318.58,39170012,1.8427589,4.4928348,-2.6500759
2026-02-11,318.97,321.06,309.66,310.96,45406405,0.2488525,3.6440383,-3.3951858
