date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-07,720.05,735.89,717.79,735.33,999250,3.603288,3.9436327,-0.3403447
2025-07-08,731.06,737.89,721.56,724.11,554462,3.4272912,3.8403644,-0.4130732
2025-07-09,728.01,728.01,716.45,727.23,627467,3.4992334,3.7721382,-0.2729048
2025-07-10,726.42,728.37,707.43,714.54,547025,2.5034134,3.5183932,-1.0149798
2025-07-11,708.09,710.79,706.1,709.59,530636,1.2998118,3.074677,-1.7748651
2025-07-14,708.04,716.68,705.75,715.57,434097,0.8190435,2.6235503,-1.8045068
2025-07-15,715.46,718.0,707.76,710.82,410829,0.0541219,2.1096646,-2.0555427
2025-07-16,710.87,715.99,707.16,715.74,418214,-0.1533137,1.6570689,-1.8103827
2025-07-17,713.39,716.2,700.5,710.28,402301,-0.7496429,1.1757266,-1.9253695
2025-07-18,709.11,713.85,706.5,709.8,496578,-1.2466001,0.6912612,-1.9378613
2025-07-21,707.2,714.53,702.0,711.21,395786,-1.5092691,0.2511552,-1.7604242
2025-07-22,711.22,719.18,706.62,709.47,366414,-1.8366676,-0.1664094,-1.6702582
2025-07-23,710.13,714.79,707.65,714.0,328682,-1.7108783,-0.4753032,-1.2355751
2025-07-24,713.72,718.71,707.88,710.19,563537,-1.8967598,-0.7595945,-1.1371653
2025-07-25,712.16,716.9,709.96,711.82,432087,-1.8907495,-0.9858255,-0.904924
2025-07-28,716.5,716.5,701.26,706.28,692813,-2.3064308,-1.2499466,-1.0564843
2025-07-29,710.26,715.31,703.13,712.15,954837,-2.1375609,-1.4274694,-0.7100915
2025-07-30,710.75,716.66,706.0,714.92,877601,-1.7599271,-1.493961,-0.2659661
2025-07-31,711.19,717.0,686.3,693.54,1190269,-3.149531,-1.825075,-1.3244561
2025-08-01,697.64,700.0,688.88,698.8,961179,-3.7827589,-2.2166118,-1.5661471
2025-08-04,699.45,710.95,697.78,710.94,827439,-3.2673361,-2.4267566,-0.8405795
2025-08-05,705.74,713.58,705.0,709.49,1040083,-2.9419498,-2.5297953,-0.4121545
2025-08-06,703.02,711.48,687.2,703.76,1305534,-3.110585,-2.6459532,-0.4646318
2025-08-07,683.5,692.26,648.6,663.25,2172501,-6.4388253,-3.4045276,-3.0342977
2025-08-08,663.67,671.4,656.49,668.58,1298933,-8.5478589,-4.4331939,-4.114665
2025-08-11,667.24,682.83,667.24,672.77,830832,-9.7685791,-5.5002709,-4.2683082
2025-08-12,666.75,666.75,637.0,659.01,1644208,-11.7113248,-6.7424817,-4.9688431
2025-08-13,666.5,670.9,659.86,663.17,627400,-12.7681048,-7.9476063,-4.8204985
2025-08-14,666.69,677.7,661.69,673.82,669753,-12.6009882,-8.8782827,-3.7227055
2025-08-15,677.76,682.0,671.39,673.05,630708,-12.3878798,-9.5802021,-2.8076777
2025-08-18,672.9,677.0,668.5,671.19,512430,-12.2281183,-10.1097853,-2.1183329
2025-08-19,669.81,681.7,667.5,676.91,507917,-11.5073009,-10.3892885,-1.1180124
2025-08-20,680.98,703.82,680.83,702.94,1063450,-8.7349534,-10.0584214,1.3234681
2025-08-21,701.54,708.54,698.68,706.0,765876,-6.21924,-9.2905852,3.0713451
2025-08-22,705.63,709.5,684.71,689.45,1217441,-5.4975929,-8.5319867,3.0343938
2025-08-25,688.33,693.31,678.77,678.91,709769,-5.710347,-7.9676588,2.2573118
2025-08-26,678.33,682.95,673.38,680.52,1168590,-5.6835264,-7.5108323,1.8273059
2025-08-27,682.96,686.27,677.81,683.51,1032062,-5.3592251,-7.0805109,1.7212858
2025-08-28,682.58,683.9,677.28,681.02,698722,-5.2427016,-6.712949,1.4702474
2025-08-29,680.77,688.51,679.65,686.64,880320,-4.6433432,-6.2990278,1.6556846
2025-09-02,687.33,696.47,684.51,691.62,756087,-3.7235799,-5.7839383,2.0603583
2025-09-03,695.07,695.07,685.47,690.84,420205,-3.0227559,-5.2317018,2.2089459
2025-09-04,690.57,696.75,688.36,691.45,731611,-2.3905689,-4.6634752,2.2729063
2025-09-05,689.8,690.71,682.35,687.4,472767,-2.1910997,-4.1690001,1.9779004
2025-09-08,688.0,697.56,683.38,696.98,592164,-1.2456341,-3.5843269,2.3386928
2025-09-09,696.9,707.18,692.86,705.55,679926,0.1929573,-2.8288701,3.0218274
2025-09-10,701.04,709.2,698.77,706.25,504765,1.3737003,-1.988356,3.3620563
2025-09-11,707.16,727.31,706.0,719.8,744948,3.3640409,-0.9178766,4.2819175
2025-09-12,717.6,724.0,710.58,711.42,522434,4.2165978,0.1090183,4.1075796
2025-09-15,711.61,715.29,700.98,702.88,630838,4.1552496,0.9182645,3.2369851
2025-09-16,705.1,707.7,691.63,693.45,617472,3.3075807,1.3961278,1.911453
2025-09-17,696.2,700.0,691.34,692.24,434100,2.5092353,1.6187493,0.890486
2025-09-18,690.98,697.98,688.0,690.13,518663,1.6868366,1.6323667,0.0544699
2025-09-19,690.67,699.38,690.67,698.31,1445594,1.6758195,1.6410573,0.0347622
2025-09-22,696.2,700.79,687.68,697.0,583855,1.5435889,1.6215636,-0.0779748
2025-09-23,714.0,748.74,714.0,741.31,1141203,4.9570994,2.2886708,2.6684286
2025-09-24,750.0,770.0,745.66,760.58,916845,9.1122191,3.6533804,5.4588387
2025-09-25,762.6,763.01,715.31,736.52,1536737,10.3444955,4.9916035,5.3528921
2025-09-26,743.18,761.72,741.78,760.55,820441,13.1089914,6.615081,6.4939104
2025-09-29,758.97,765.24,756.21,761.82,711560,15.2268273,8.3374303,6.889397
