date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-07,308.0,308.6,301.2,303.71,9031224,-6.1964312,-9.3495626,3.1531314
2025-07-08,304.23,308.3,303.8,307.7,9613844,-5.7929054,-8.6382312,2.8453258
2025-07-09,303.19,303.6,298.75,302.91,12816658,-5.792845,-8.069154,2.2763089
2025-07-10,303.06,304.93,296.6,299.51,11355625,-5.9980074,-7.6549247,1.6569172
2025-07-11,300.02,304.12,298.0,304.1,9808227,-5.72424,-7.2687877,1.5445477
2025-07-14,301.64,304.04,299.0,300.58,10681441,-5.7253141,-6.960093,1.2347789
2025-07-15,299.71,300.68,291.03,291.71,16019016,-6.3684882,-6.841772,0.4732839
2025-07-16,292.55,295.99,290.75,292.49,9713979,-6.7376019,-6.820938,0.0833361
2025-07-17,292.33,293.0,283.83,288.07,14792734,-7.3026044,-6.9172713,-0.3853331
2025-07-18,287.89,288.07,280.81,282.65,14979714,-8.0944143,-7.1526999,-0.9417144
2025-07-21,284.64,286.5,281.2,282.14,10319211,-8.6632179,-7.4548035,-1.2084144
2025-07-22,282.63,287.11,282.0,285.13,14600338,-8.7716171,-7.7181662,-1.0534509
2025-07-23,287.5,292.64,284.95,292.51,13111099,-8.1678658,-7.8081061,-0.3597597
2025-07-24,283.1,289.21,278.22,278.58,22585190,-8.7129853,-7.989082,-0.7239033
2025-07-25,281.0,286.14,279.94,281.06,16486616,-8.8429452,-8.1598546,-0.6830906
2025-07-28,283.5,285.0,279.69,282.12,15779352,-8.7594329,-8.2797703,-0.4796626
2025-07-29,265.7,272.91,260.55,261.07,41706034,-10.2733827,-8.6784927,-1.59489
2025-07-30,264.8,266.63,258.12,266.04,22371770,-10.9459829,-9.1319908,-1.8139921
2025-07-31,261.4,261.4,247.75,249.56,29606864,-12.6628522,-9.8381631,-2.8246891
2025-08-01,250.61,251.49,234.6,237.77,39989180,-14.8041845,-10.8313674,-3.9728172
2025-08-04,238.24,242.25,236.95,240.98,17427931,-16.0570895,-11.8765118,-4.1805777
2025-08-05,241.16,252.07,240.05,251.0,23795862,-16.0564073,-12.7124909,-3.3439164
2025-08-06,250.64,253.16,245.31,245.78,12946447,-16.2893039,-13.4278535,-2.8614504
2025-08-07,246.42,248.75,239.5,244.67,11369901,-16.3746868,-14.0172202,-2.3574666
2025-08-08,244.79,251.08,244.37,250.89,10185749,-15.7587937,-14.3655349,-1.3932588
2025-08-11,253.87,258.4,252.14,252.37,11779538,-14.9786063,-14.4881492,-0.4904572
2025-08-12,254.02,262.88,253.67,261.57,12207661,-13.4627489,-14.2830691,0.8203202
2025-08-13,264.39,272.19,262.89,271.81,19480262,-11.3048236,-13.68742,2.3825964
2025-08-14,272.1,273.85,267.0,271.49,25011098,-9.5108386,-12.8521037,3.3412652
2025-08-15,301.71,310.3,294.71,304.01,68198475,-5.402721,-11.3622272,5.9595061
2025-08-18,313.18,316.4,307.42,308.49,39600508,-1.7651621,-9.4428142,7.6776521
2025-08-19,308.9,310.5,299.21,304.24,22348565,0.7658618,-7.401079,8.1669407
2025-08-20,306.4,307.2,295.7,299.84,16678985,2.3891327,-5.4430366,7.8321694
2025-08-21,302.29,306.57,297.8,303.35,13358957,3.9136996,-3.5716894,7.485389
2025-08-22,306.1,310.68,304.58,307.42,14930045,5.3882327,-1.779705,7.1679376
2025-08-25,308.49,308.87,302.73,304.86,8917077,6.2778727,-0.1681894,6.4460622
2025-08-26,304.31,308.96,294.2,300.43,16303186,6.5499511,1.1754387,5.3745125
2025-08-27,300.54,305.97,300.5,303.88,9982781,6.9636883,2.3330886,4.6305997
2025-08-28,304.25,304.47,299.4,302.29,11234953,7.0816455,3.2828,3.7988455
2025-08-29,302.3,310.0,300.91,309.87,12065367,7.698032,4.1658464,3.5321856
2025-09-02,308.3,312.89,307.3,308.8,10957136,8.0078729,4.9342517,3.0736212
2025-09-03,308.11,309.59,303.7,307.88,9654569,8.0859776,5.5645969,2.5213807
2025-09-04,306.1,311.91,304.1,310.38,7725742,8.254453,6.1025681,2.1518849
2025-09-05,310.44,317.94,308.2,315.39,14126705,8.6920398,6.6204624,2.0715773
2025-09-08,319.71,321.65,313.8,320.25,18438640,9.3235161,7.1610732,2.1624429
2025-09-09,332.5,351.71,327.16,347.92,46408865,11.919305,8.1127195,3.8065855
2025-09-10,345.56,348.57,341.4,346.78,17804298,13.7262701,9.2354297,4.4908405
2025-09-11,349.0,360.98,345.84,353.61,18943509,15.5304021,10.4944241,5.0359779
