date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-07,98.23,99.35,97.62,99.35,12930913,0.4916842,0.2333999,0.2582843
2025-07-08,98.82,99.17,96.51,97.09,16874954,0.4126422,0.2692484,0.1433938
2025-07-09,97.15,97.29,96.38,96.81,13702615,0.323676,0.2801339,0.0435421
2025-07-10,96.66,96.78,94.74,94.86,18894787,0.0947291,0.2430529,-0.1483239
2025-07-11,95.0,95.53,94.23,94.4,14595047,-0.12242,0.1699583,-0.2923784
2025-07-14,94.51,95.84,94.38,95.78,13779084,-0.1810705,0.0997526,-0.2808231
2025-07-15,95.6,95.78,94.94,95.39,10450759,-0.2560694,0.0285882,-0.2846576
2025-07-16,95.42,95.83,94.6,95.15,11181552,-0.3310563,-0.0433407,-0.2877156
2025-07-17,95.08,95.63,94.89,95.09,11165126,-0.3908204,-0.1128367,-0.2779837
2025-07-18,95.08,95.48,94.43,95.05,14636294,-0.4363812,-0.1775456,-0.2588356
2025-07-21,95.26,96.64,95.1,95.67,13450359,-0.4176452,-0.2255655,-0.1920797
2025-07-22,95.84,96.67,95.74,95.85,9049130,-0.3838476,-0.2572219,-0.1266257
2025-07-23,96.01,96.29,95.29,95.68,9729672,-0.3665549,-0.2790885,-0.0874664
2025-07-24,95.57,96.96,95.35,96.6,14991517,-0.2754389,-0.2783586,0.0029197
2025-07-25,96.84,97.65,96.53,97.47,12868466,-0.1315112,-0.2489891,0.117478
2025-07-28,97.28,98.12,97.08,97.61,12293060,-0.0060804,-0.2004074,0.1943269
2025-07-29,97.78,98.72,97.34,98.33,14034265,0.1496967,-0.1303866,0.2800833
2025-07-30,98.61,98.88,97.29,97.59,13864096,0.211007,-0.0621079,0.2731149
2025-07-31,97.44,98.63,97.31,97.98,15651348,0.2877486,0.0078634,0.2798852
2025-08-01,98.0,98.83,97.67,98.49,16750407,0.3852784,0.0833464,0.301932
2025-08-04,98.2,99.91,98.2,99.59,19050206,0.5450493,0.175687,0.3693623
2025-08-05,99.67,100.47,98.91,99.31,17977008,0.6416783,0.2688853,0.372793
2025-08-06,99.46,103.68,99.46,103.36,23738420,1.0331492,0.421738,0.6114111
2025-08-07,103.46,103.9,102.11,103.12,12509479,1.308938,0.599178,0.70976
2025-08-08,103.37,104.72,103.15,103.73,12394722,1.5587562,0.7910937,0.7676625
2025-08-11,103.9,104.33,103.11,103.93,12856706,1.7526735,0.9834096,0.7692639
2025-08-12,104.25,104.31,103.37,103.62,17919327,1.8599002,1.1587078,0.7011925
2025-08-13,102.15,102.8,100.85,100.99,19398499,1.7129137,1.269549,0.4433648
2025-08-14,101.22,101.44,100.72,100.85,10858447,1.5670649,1.3290521,0.2380127
2025-08-15,100.63,100.77,99.54,100.0,13604944,1.3671313,1.336668,0.0304633
2025-08-18,100.0,100.88,99.92,100.7,11656135,1.2507488,1.3194841,-0.0687354
2025-08-19,100.96,102.43,100.8,101.29,16999004,1.1923779,1.2940629,-0.101685
2025-08-20,101.15,102.65,100.93,102.57,18655026,1.2351656,1.2822834,-0.0471178
2025-08-21,99.41,99.45,96.95,97.96,51825050,0.8868635,1.2031994,-0.3163359
2025-08-22,98.06,99.05,96.76,96.83,32695177,0.5137281,1.0653052,-0.5515771
2025-08-25,97.0,97.58,96.07,96.07,18956143,0.1549043,0.883225,-0.7283207
2025-08-26,96.28,96.47,95.42,96.05,22270353,-0.1295862,0.6806627,-0.810249
2025-08-27,95.9,96.32,95.6,96.08,12925656,-0.3486077,0.4748087,-0.8234164
2025-08-28,96.0,96.57,95.7,96.11,19241634,-0.5138398,0.277079,-0.7909188
2025-08-29,96.1,97.02,95.8,96.98,15600269,-0.5680378,0.1080556,-0.6760934
