date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-14,209.92,212.4,207.54,211.18,225669714,-4.8568887,-6.6338274,1.7769387
2025-07-21,212.1,215.78,211.63,213.88,231062208,-3.9626643,-6.0995948,2.1369305
2025-07-28,214.03,214.84,201.5,202.38,319915158,-4.1342815,-5.7065321,1.5722506
2025-08-04,204.5,231.0,201.68,229.35,431826281,-2.0701721,-4.9792601,2.909088
2025-08-11,227.92,235.12,224.76,231.59,295311911,-0.2507113,-4.0335504,3.7828391
2025-08-18,231.7,233.12,223.78,227.76,192241677,0.8721223,-3.0524158,3.9245382
2025-08-25,226.48,233.41,224.69,232.14,194310890,2.0912982,-2.023673,4.1149713
2025-09-01,229.25,241.32,226.97,239.69,212923299,3.6249398,-0.8939505,4.5188902
2025-09-08,239.3,240.15,225.95,234.07,304787017,4.3368819,0.152216,4.1846659
2025-09-15,237.0,246.3,235.03,245.5,360619530,5.757043,1.2731814,4.4838616
2025-09-22,248.3,257.6,248.12,255.46,309374646,7.5986274,2.5382706,5.0603568
2025-09-29,254.56,259.24,253.01,258.02,218331739,9.1590866,3.8624338,5.2966528
2025-10-06,257.99,259.07,244.0,245.27,213437899,9.2601976,4.9419866,4.318211
2025-10-13,249.38,253.38,244.7,252.29,196438474,9.7938863,5.9123665,3.8815198
2025-10-20,255.88,265.29,255.43,262.82,253202889,10.9404072,6.9179746,4.0224326
2025-10-27,264.88,277.32,264.65,270.37,293563310,12.3162808,7.9976359,4.3186449
2025-11-03,270.42,273.4,266.25,268.47,242583911,13.102321,9.0185729,4.0837481
2025-11-10,268.96,276.7,267.46,272.41,232952837,13.8831522,9.9914888,3.8916635
2025-11-17,268.82,275.43,265.32,271.49,235974430,14.2633117,10.8458534,3.4174584
2025-11-24,270.9,280.38,270.9,278.85,166067059,14.9857351,11.6738297,3.3119054
2025-12-01,278.01,288.62,276.14,278.78,235050842,15.3753747,12.4141387,2.961236
2025-12-08,278.13,280.03,273.81,278.28,176224279,15.4655439,13.0244198,2.4411242
2025-12-15,280.15,280.15,266.95,273.67,334459218,14.9921945,13.4179747,1.5742198
2025-12-22,272.86,275.43,269.56,273.4,105646202,14.428947,13.6201692,0.8087779
2025-12-29,272.69,277.84,269.0,271.01,110986523,13.6325686,13.6226491,0.0099195
2026-01-05,270.64,271.51,255.7,259.37,236725388,11.9247214,13.2830635,-1.3583421
2026-01-12,259.16,261.82,254.93,255.53,242545372,10.1444454,12.6553399,-2.5108945
2026-01-19,252.73,254.79,243.42,248.04,216306564,8.0365432,11.7315806,-3.6950373
2026-01-26,251.48,261.95,249.8,259.48,306601893,7.206061,10.8264767,-3.6204157
2026-02-02,260.03,280.9,259.2,278.12,332284645,7.9602295,10.2532272,-2.2929978
2026-02-09,277.9,280.18,255.45,255.78,268299479,6.6782791,9.5382376,-2.8599585
2026-02-16,258.05,266.82,255.54,264.58,165588224,6.2997905,8.8905482,-2.5907576
2026-02-23,263.49,276.11,262.89,264.18,222748737,5.8995526,8.2923491,-2.3927964
2026-03-02,262.41,266.53,254.37,257.46,210978656,4.9826762,7.6304145,-2.6477383
2026-03-09,255.69,262.48,249.52,250.12,172752234,3.622016,6.8287348,-3.2067188
2026-03-16,252.1,255.13,246.0,247.99,223388854,2.3447806,5.9319439,-3.5871634
2026-03-23,253.97,257.0,248.07,248.8,203871715,1.3819918,5.0219535,-3.6399617
2026-03-30,250.07,256.18,245.51,255.92,160393106,1.1798982,4.2535424,-3.0736443
2026-04-06,256.51,262.19,245.7,260.48,191923740,1.3718772,3.6772094,-2.3053322
2026-04-13,259.73,272.3,256.66,270.23,239278259,2.284432,3.3986539,-1.1142219
2026-04-20,270.33,275.77,265.4,271.06,201605879,3.039574,3.3268379,-0.2872639
2026-04-27,266.09,287.22,265.07,280.14,283297245,4.320901,3.5256505,0.7952504
2026-05-04,279.65,294.76,274.86,293.32,252233247,6.3269445,4.0859093,2.2410352
2026-05-11,291.98,303.2,290.23,300.23,230867434,8.3777543,4.9442783,3.4334759
2026-05-18,300.24,311.4,294.91,308.82,201591715,10.5742832,6.0702793,4.5040039
2026-05-25,309.56,315.0,307.67,312.06,216678556,12.4331673,7.3428569,5.0903104
2026-06-01,309.62,316.94,305.02,307.34,254400992,13.3713453,8.5485546,4.8227907
2026-06-08,308.74,317.4,287.38,291.13,282208483,12.6608996,9.3710236,3.289876
2026-06-15,294.12,302.07,291.7,298.01,214314239,12.5088307,9.998585,2.5102457
2026-06-22,297.31,302.42,273.75,283.78,519001814,11.111981,10.2212642,0.8907168
2026-06-29,286.73,309.42,279.85,308.63,257092016,11.8732869,10.5516687,1.3216182
2026-07-06,307.36,316.91,307.0,315.32,219660273,12.8681188,11.0149588,1.8531601
2026-07-13,317.02,323.45,311.91,314.86,78949768,13.4642052,11.504808,1.9593971
