date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-14,225.07,227.27,222.18,226.13,179835455,5.1745798,1.7302859,3.4442939
2025-07-21,225.84,236.0,225.65,231.44,177690471,6.2066026,2.6255493,3.5810534
2025-07-28,233.35,236.53,212.8,214.75,319625695,5.613041,3.2230476,2.3899934
2025-08-04,217.4,226.22,211.42,222.69,257792302,5.7174238,3.7219228,1.995501
2025-08-11,221.78,234.08,219.05,231.03,206604332,6.3993486,4.257408,2.1419406
2025-08-18,230.22,231.91,220.5,228.84,161200021,6.6859922,4.7431248,1.9428673
2025-08-25,227.35,232.71,226.02,229.0,129872302,6.8471404,5.1639279,1.6832125
2025-09-01,223.52,236.0,221.83,232.33,164180598,7.1610071,5.5633438,1.5976633
2025-09-08,234.94,238.85,226.29,228.15,197870412,6.9918598,5.849047,1.1428128
2025-09-15,230.62,235.9,228.71,231.48,250137380,7.0452987,6.0882973,0.9570014
2025-09-22,230.56,230.56,216.47,219.78,260256158,6.0735452,6.0853469,-0.0118017
2025-09-29,220.08,224.2,216.61,219.51,221486999,5.2214471,5.9125669,-0.6911198
2025-10-06,221.0,228.25,216.0,216.37,240351172,4.243861,5.5788257,-1.3349648
2025-10-13,217.7,220.68,211.03,213.04,217786234,3.1639418,5.095849,-1.9319072
2025-10-20,213.88,225.4,213.59,224.21,203910974,3.1728491,4.711249,-1.5383999
2025-10-27,227.66,250.5,222.75,244.22,405996917,4.7399092,4.716981,0.0229282
2025-11-03,255.36,258.6,238.49,244.41,280533326,5.9288035,4.9593455,0.969458
2025-11-10,248.34,251.75,232.89,234.69,171589044,6.017324,5.1709412,0.8463828
2025-11-17,233.25,234.6,215.18,220.69,297662529,4.9012951,5.117012,-0.2157169
2025-11-24,222.56,233.28,222.27,233.22,152487985,4.9706025,5.0877301,-0.1171276
2025-12-01,233.22,238.97,226.8,229.53,202984976,4.6738991,5.0049639,-0.3310648
2025-12-08,229.59,232.42,225.11,226.19,163540370,4.1217366,4.8283184,-0.7065818
2025-12-15,227.93,229.22,220.99,227.35,266436153,3.7346949,4.6095937,-0.8748988
2025-12-22,228.61,232.99,226.71,232.52,88906831,3.8013182,4.4479386,-0.6466205
2025-12-29,231.94,235.46,224.7,226.5,117548340,3.3299681,4.2243445,-0.8943764
2026-01-05,228.84,247.86,227.18,247.38,219804361,4.5883694,4.2971495,0.2912199
2026-01-12,246.73,248.94,236.22,239.12,204541980,4.8630898,4.4103375,0.4527523
2026-01-19,233.76,240.45,226.88,239.16,160705747,5.0260977,4.5334896,0.4926081
2026-01-26,239.98,247.78,236.74,239.3,205552070,5.107701,4.6483319,0.4593692
2026-02-02,238.31,246.35,200.31,210.32,425397428,2.801633,4.2789921,-1.4773591
2026-02-09,208.97,212.81,197.28,198.79,374195915,0.043185,3.4318307,-3.3886457
2026-02-16,198.12,211.17,196.0,210.11,222433721,-1.2154644,2.5023717,-3.717836
2026-02-23,208.1,211.59,203.11,210.0,241244591,-2.1965092,1.5625955,-3.7591047
2026-03-02,204.55,220.47,202.48,213.21,256013194,-2.6840342,0.7132696,-3.3973038
2026-03-09,210.45,217.0,206.22,207.67,204532703,-3.4773483,-0.124854,-3.3524943
2026-03-16,208.35,215.7,204.32,205.37,225161128,-4.2427386,-0.9484309,-3.2943076
2026-03-23,209.79,213.07,199.14,199.34,218773315,-5.2750786,-1.8137605,-3.4613182
2026-03-30,201.48,213.58,199.98,209.77,182252311,-5.1917544,-2.4893593,-2.7023952
2026-04-06,209.8,240.43,209.08,238.38,227509765,-2.7850275,-2.5484929,-0.2365346
2026-04-13,237.45,256.18,235.75,250.56,251821340,0.103947,-2.0180049,2.1219519
2026-04-20,249.19,264.5,245.36,263.99,211319320,3.437543,-0.9268953,4.3644383
2026-04-27,263.46,273.88,256.16,268.26,311279298,6.3507872,0.5286412,5.822146
2026-05-04,268.8,278.56,268.8,272.68,206169780,8.9134624,2.2056054,6.707857
2026-05-11,269.83,273.63,260.89,264.14,186732614,10.1384249,3.7921693,6.3462556
2026-05-18,263.86,269.79,255.19,266.32,173091907,11.1565189,5.2650392,5.8914797
2026-05-25,267.94,274.75,262.07,270.64,173469929,12.1716465,6.6463607,5.5252858
2026-06-01,266.29,266.63,245.78,246.03,238027168,10.8650752,7.4901036,3.3749716
2026-06-08,246.68,250.43,233.59,238.55,209501667,9.1208946,7.8162618,1.3046328
2026-06-15,245.02,249.51,236.0,244.39,197304165,8.1162985,7.8762691,0.2400293
2026-06-22,240.08,242.42,225.55,232.69,525394233,6.303395,7.5616943,-1.2582993
2026-06-29,234.22,249.71,233.8,242.67,245975479,5.6073208,7.1708196,-1.5634988
2026-07-06,243.8,251.03,238.25,245.34,180022366,5.2110538,6.7788664,-1.5678126
2026-07-13,244.68,249.65,244.18,247.31,34598354,4.9983541,6.422764,-1.4244099
