date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-09-15,244.66,256.0,244.66,254.72,213412406,17.3974596,10.0199418,7.3775178
2025-09-22,254.43,255.78,240.74,246.54,136643134,18.7770255,11.7713585,7.005667
2025-09-29,247.85,251.15,238.61,245.35,154621214,19.5489701,13.3268808,6.2220892
2025-10-06,244.78,251.32,235.84,236.57,134455451,19.2305908,14.5076228,4.7229679
2025-10-13,240.21,256.96,239.71,253.3,131783078,20.0965832,15.6254149,4.4711683
2025-10-20,254.69,261.68,244.15,259.92,153248174,21.0741375,16.7151594,4.3589781
2025-10-27,264.82,291.59,264.28,281.19,222698007,23.2966187,18.0314513,5.2651674
2025-11-03,282.18,288.35,275.19,278.83,162527903,24.5841282,19.3419867,5.2421416
2025-11-10,284.42,292.0,270.7,276.41,135370635,25.1196514,20.4975196,4.6221317
2025-11-17,285.77,306.42,278.2,299.66,306190794,27.1076578,21.8195472,5.2881105
2025-11-24,311.13,328.83,309.6,320.18,251189126,29.9932165,23.4542811,6.5389354
2025-12-01,317.7,323.16,313.89,321.27,178968646,31.9991305,25.163251,6.8358795
2025-12-08,320.05,321.31,305.56,309.29,175826250,32.2503835,26.5806775,5.669706
2025-12-15,311.32,311.42,296.12,307.16,197128554,31.9097939,27.6465008,4.2632932
2025-12-22,309.88,315.08,305.3,313.51,72904985,31.7858586,28.4743723,3.3114862
2025-12-29,311.36,322.5,310.33,315.15,85389739,31.4573524,29.0709683,2.3863841
2026-01-05,317.65,330.83,311.78,328.57,154622390,31.9120288,29.6391804,2.2728483
2026-01-12,325.8,340.49,325.0,330.0,164751149,32.0186609,30.1150765,1.9035844
2026-01-19,320.87,335.15,319.35,327.93,124281262,31.5721914,30.4064995,1.1656919
2026-01-26,327.8,342.29,326.54,338.0,145922284,31.6659011,30.6583798,1.0075213
2026-02-02,336.22,349.0,306.46,322.86,283717492,30.1707061,30.5608451,-0.3901389
2026-02-09,320.93,327.7,303.71,305.72,210477461,27.2881379,29.9063036,-2.6181657
2026-02-16,300.04,316.5,296.25,314.98,146774846,25.4574291,29.0165287,-3.5590997
2026-02-23,319.04,319.52,302.35,311.76,168074115,23.4761338,27.9084497,-4.432316
2026-03-02,303.23,308.49,295.18,298.52,161152593,20.6001203,26.4467838,-5.8466636
2026-03-09,294.36,311.42,294.08,302.28,125298987,18.4120171,24.8398305,-6.4278134
2026-03-16,304.35,312.47,298.27,301.0,134924607,16.3857595,23.1490163,-6.7632568
2026-03-23,302.11,305.98,273.95,274.34,170623085,12.4847798,21.016169,-8.5313892
2026-03-30,276.42,300.52,272.11,295.77,138367572,10.9956956,19.0120743,-8.0163787
2026-04-06,295.87,322.08,295.18,317.24,116589800,11.4164337,17.4929462,-6.0765125
2026-04-13,317.14,342.32,315.47,341.68,117629986,13.5655996,16.7074769,-3.1418773
2026-04-20,340.76,345.27,331.35,344.4,107277355,15.3118054,16.4283426,-1.1165372
2026-04-27,345.98,386.76,342.73,385.69,193922488,19.799211,17.1025163,2.6966947
2026-05-04,385.63,402.0,379.79,400.8,127381018,24.2947087,18.5409548,5.753754
2026-05-11,393.64,403.7,382.77,396.78,126362200,27.2192758,20.276619,6.9426568
2026-05-18,395.68,408.61,381.77,382.97,143422240,28.0987597,21.8410471,6.2577126
2026-05-25,384.51,393.88,378.46,380.34,119607978,28.2577996,23.1243976,5.133402
2026-06-01,376.52,378.56,358.08,368.53,216052731,27.1182691,23.9231719,3.1950972
2026-06-08,365.18,372.08,346.36,359.68,150103855,25.2104515,24.1806278,1.0298237
2026-06-15,367.93,376.0,358.67,368.03,121617303,24.0945209,24.1634065,-0.0688855
2026-06-22,357.94,358.92,330.2,337.39,291090597,20.5014184,23.4310088,-2.9295905
2026-06-29,341.82,364.2,340.67,359.91,122186956,19.2491424,22.5946355,-3.3454932
2026-07-06,361.55,373.16,351.08,357.18,115931399,17.8308732,21.6418831,-3.8110098
2026-07-13,356.19,375.27,341.36,346.77,133563402,15.6860655,20.4507196,-4.764654
2026-07-20,350.88,359.68,314.9,319.74,188666872,11.6706627,18.6947082,-7.0240455
2026-07-27,325.04,358.58,324.44,356.13,162151190,11.2945988,17.2146863,-5.9200875
2026-08-03,365.44,384.48,353.78,354.3,166397497,10.7252656,15.9168022,-5.1915366
2026-08-10,355.18,357.61,340.88,345.9,108759829,9.4868961,14.630821,-5.1439249
2026-08-17,346.26,347.25,338.57,344.82,96694079,8.322397,13.3691362,-5.0467392
2026-08-24,343.62,351.6,338.52,346.59,116146764,7.4563945,12.1865878,-4.7301933
2026-08-31,343.82,344.68,332.82,338.46,123334810,6.0443824,10.9581468,-4.9137643
2026-09-07,335.42,342.98,327.74,338.5,104378414,4.8724142,9.7410002,-4.8685861
