date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-07,720.05,737.89,706.1,709.59,3258840,29.8960059,32.2403539,-2.3443479
2025-07-14,708.04,718.0,700.5,709.8,2162019,27.8182614,31.3559354,-3.537674
2025-07-21,707.2,719.18,702.0,711.82,2086506,26.0345212,30.2916525,-4.2571313
2025-07-28,716.5,717.0,686.3,698.8,4676699,23.3016819,28.8936584,-5.5919765
2025-08-04,699.45,713.58,648.6,668.58,6644490,18.4843099,26.8117887,-8.3274788
2025-08-11,667.24,682.83,637.0,673.05,4402901,14.8559494,24.4206208,-9.5646714
2025-08-18,672.9,709.5,667.5,689.45,4067114,13.1521804,22.1669327,-9.0147524
2025-08-25,688.33,693.31,673.38,686.64,4489463,11.4432767,20.0222015,-8.5789249
2025-09-01,687.33,696.75,682.35,687.4,2380670,10.034611,18.0246834,-7.9900724
2025-09-08,688.0,727.31,683.38,711.42,3044237,10.7327265,16.566292,-5.8335656
2025-09-15,711.61,715.29,688.0,698.31,3646667,10.1115607,15.2753458,-5.163785
2025-09-22,696.2,770.0,687.68,760.55,4999081,14.4746752,15.1152117,-0.6405364
2025-09-29,758.97,776.14,730.04,738.06,4202873,15.9340421,15.2789778,0.6550644
2025-10-06,736.93,769.44,732.76,763.55,2841428,18.9292266,16.0090275,2.920199
2025-10-13,752.47,793.96,752.47,786.0,3085933,22.8510465,17.3774313,5.4736152
2025-10-20,787.46,807.75,780.31,801.67,2391665,26.9133152,19.2846081,7.6287071
2025-10-27,801.35,846.32,799.17,811.34,3269565,30.5606959,21.5398257,9.0208702
2025-11-03,813.48,867.63,793.31,851.99,4537252,36.3127954,24.4944196,11.8183758
2025-11-10,842.91,861.98,836.95,842.09,3589099,39.6158614,27.518708,12.0971534
2025-11-17,846.66,869.74,842.33,866.03,3878456,43.6620144,30.7473692,12.9146451
2025-11-24,867.76,895.58,860.53,881.12,2802911,47.5382651,34.1055484,13.4327167
2025-12-01,875.75,883.3,802.72,808.62,5128305,44.2499914,36.134437,8.1155543
2025-12-08,805.16,826.0,789.96,813.8,4547790,41.5826544,37.2240805,4.3585739
2025-12-15,816.07,825.61,801.21,820.25,4154386,39.5335141,37.6859672,1.8475469
2025-12-22,819.0,830.65,813.0,828.26,1222493,38.1165122,37.7720762,0.344436
2025-12-29,829.87,833.72,810.48,823.44,1549090,36.1874479,37.4551505,-1.2677026
2026-01-05,816.18,844.69,794.59,816.06,3183385,33.6749622,36.6991129,-3.0241506
2026-01-12,817.0,847.9,815.43,840.46,2698416,33.2691691,36.0131241,-2.7439551
2026-01-19,838.42,847.89,807.0,820.23,2363680,30.9583149,35.0021623,-4.0438474
2026-01-26,822.68,849.05,815.0,831.21,3062327,29.6709128,33.9359124,-4.2649996
2026-02-02,836.09,971.93,817.17,948.68,6545281,37.6949606,34.687722,3.0072385
2026-02-09,950.0,968.61,894.59,934.75,4910465,42.4408104,36.2383397,6.2024707
2026-02-16,942.2,950.76,931.0,947.48,2547263,46.6909114,38.328854,8.3620574
2026-02-23,945.0,987.37,943.68,987.37,3357530,52.6707808,41.1972394,11.4735414
2026-03-02,990.0,999.0,909.77,919.26,4046835,51.3223504,43.2222616,8.1000888
2026-03-09,920.11,959.95,913.09,940.91,2955880,51.4080833,44.8594259,6.5486574
2026-03-16,947.34,953.68,875.97,885.84,4971995,46.4963574,45.1868122,1.3095452
2026-03-23,896.17,904.43,852.55,860.16,3703177,40.0697191,44.1633936,-4.0936745
2026-03-30,869.95,887.25,846.73,884.28,2888539,36.5020712,42.6311291,-6.1290579
2026-04-06,862.15,879.1,845.52,865.6,3780101,31.800785,40.4650603,-8.6642753
2026-04-13,865.47,875.53,855.18,866.38,2988762,27.8172613,37.9355005,-10.1182392
2026-04-20,864.99,873.03,817.44,828.11,4307521,21.3263835,34.6136771,-13.2872936
2026-04-27,827.01,841.85,791.09,814.02,4540896,14.8739137,30.6657244,-15.7918107
2026-05-04,808.3,813.37,726.02,736.09,8798869,3.4324184,25.2190632,-21.7866448
2026-05-11,743.45,766.43,723.68,760.57,6078989,-3.6180115,19.4516483,-23.0696598
2026-05-18,757.25,782.48,748.97,766.08,7517690,-8.6610775,13.8291031,-22.4901806
2026-05-25,760.01,767.51,738.09,742.44,6734135,-14.3993078,8.1834209,-22.5827288
2026-06-01,735.5,781.27,729.19,775.66,4470303,-16.0809492,3.3305469,-19.4114961
2026-06-08,763.11,800.36,759.25,784.05,3750973,-16.545928,-0.6447481,-15.9011799
2026-06-15,778.88,787.57,747.4,750.63,5039864,-19.387653,-4.3933291,-14.9943239
2026-06-22,751.7,784.14,744.45,763.51,7020718,-20.3656694,-7.5877971,-12.7778723
2026-06-29,771.63,787.36,744.58,786.3,5401851,-19.0818284,-9.8866034,-9.1952251
