date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-07-14,301.64,304.04,280.81,282.65,66186884,-60.6182863,-55.4626558,-5.1556304
2025-07-21,284.64,292.64,278.22,281.06,77102454,-60.2178055,-56.4136858,-3.8041198
2025-07-28,283.5,285.0,234.6,237.77,149453200,-62.6711291,-57.6651744,-5.0059547
2025-08-04,238.24,253.16,236.95,250.89,75725890,-62.8324381,-58.6986272,-4.133811
2025-08-11,253.87,310.3,252.14,304.01,136677034,-58.0052878,-58.5599593,0.5546715
2025-08-18,313.18,316.4,295.7,307.42,106917060,-53.2902807,-57.5060236,4.2157429
2025-08-25,308.49,310.0,294.2,309.87,58503364,-48.7934486,-55.7635086,6.97006
2025-09-01,308.3,317.94,303.7,315.39,42464152,-44.2738969,-53.4655862,9.1916893
2025-09-08,319.71,362.31,313.8,352.51,115611552,-37.2672522,-50.2259194,12.9586672
2025-09-15,351.26,351.71,333.84,336.69,57111747,-32.615012,-46.703738,14.0887259
2025-09-22,334.46,354.5,332.6,344.08,45303628,-28.0088978,-42.9647699,14.9558721
2025-09-29,343.98,368.0,341.45,360.2,45193050,-22.7950032,-38.9308166,16.1358134
2025-10-06,361.02,376.22,352.51,354.5,45757948,-18.9049718,-34.9256476,16.0206759
2025-10-13,354.74,364.22,350.83,356.6,32694337,-15.4742637,-31.0353708,15.5611071
2025-10-20,358.54,371.05,353.64,362.5,31933627,-12.1393869,-27.256174,15.1167872
2025-10-27,363.5,381.0,337.12,341.56,58332838,-11.0586784,-24.0166749,12.9579965
2025-11-03,339.13,340.7,314.16,324.21,47850060,-11.4699902,-21.507338,10.0373478
2025-11-10,319.99,343.17,317.17,321.86,43310078,-11.8489953,-19.5756694,7.7266741
2025-11-17,320.6,327.88,304.53,319.97,39592464,-12.1616746,-18.0928705,5.9311959
2025-11-24,324.52,335.19,317.62,329.77,24891583,-11.4862903,-16.7715544,5.2852642
2025-12-01,327.16,341.4,322.8,330.91,37870237,-10.7353049,-15.5643045,4.8289996
2025-12-08,328.7,344.98,319.6,341.84,30813961,-9.1526776,-14.2819791,5.1293015
2025-12-15,340.99,344.96,324.57,327.42,34374723,-8.9587368,-13.2173307,4.2585939
2025-12-22,322.9,331.89,321.65,331.83,19537682,-8.3529002,-12.2444446,3.8915444
2025-12-29,330.89,340.26,327.5,336.4,19928050,-7.4184937,-11.2792544,3.8607607
2026-01-05,335.45,352.61,333.85,343.98,34048350,-5.9971952,-10.2228426,4.2256474
2026-01-12,341.42,342.65,328.06,331.02,33475857,-5.8491443,-9.3481029,3.4989586
2026-01-19,327.4,357.87,326.5,356.26,33103425,-3.6530458,-8.2090915,4.5560457
2026-01-26,353.95,354.79,280.4,286.93,125111873,-7.421424,-8.051558,0.630134
2026-02-02,286.02,290.4,266.29,276.65,55025564,-11.1093393,-8.6631143,-2.4462251
2026-02-09,274.15,293.46,269.8,293.19,46608166,-12.5526994,-9.4410313,-3.1116681
2026-02-16,294.0,294.23,285.55,290.0,24629734,-13.7949592,-10.3118169,-3.4831424
2026-02-23,288.55,295.26,271.8,293.27,48245912,-14.3501775,-11.119489,-3.2306885
2026-03-02,288.16,295.31,283.05,286.48,35213258,-15.1632953,-11.9282503,-3.235045
2026-03-09,282.0,287.58,276.29,282.09,38553120,-15.9777517,-12.7381505,-3.2396011
2026-03-16,283.98,288.99,275.0,275.59,59585174,-16.9522944,-13.5809793,-3.3713151
2026-03-23,279.14,280.74,255.96,259.02,41411014,-18.8444599,-14.6336754,-4.2107844
2026-03-30,260.18,279.04,256.67,277.26,28825873,-18.6571313,-15.4383666,-3.2187647
2026-04-06,277.88,312.97,277.25,304.33,49796807,-16.1383168,-15.5783566,-0.5599601
2026-04-13,303.25,325.27,302.92,324.63,33498210,-12.3616009,-14.9350055,2.5734045
2026-04-20,324.19,358.56,320.12,354.92,62765529,-6.8454663,-13.3170977,6.4716313
2026-04-27,353.91,372.9,348.95,368.78,38732053,-1.3400564,-10.9216894,9.581633
2026-05-04,368.55,379.98,358.25,379.98,29791869,3.8820176,-7.960948,11.8429656
2026-05-11,380.45,404.15,376.07,393.85,39793675,9.0355853,-4.5616413,13.5972266
2026-05-18,390.0,394.99,380.54,388.47,31535865,12.5411374,-1.1410856,13.682223
2026-05-25,386.0,389.26,375.45,380.31,25641886,14.4937934,1.9858902,12.5079032
2026-06-01,376.1,404.04,374.72,399.47,40869923,17.3869138,5.0660949,12.3208188
2026-06-08,397.13,415.98,394.99,408.52,34274226,20.1773994,8.0883558,12.0890435
2026-06-15,406.7,414.16,398.59,400.96,29328588,21.5306584,10.7768163,10.7538421
2026-06-22,402.14,427.93,400.0,427.89,35960079,24.4938026,13.5202136,10.973589
2026-06-29,426.53,430.2,413.25,425.36,19864665,26.3343993,16.0830507,10.2513486
2026-07-06,423.49,434.3,415.05,424.62,25403303,27.4173238,18.3499054,9.0674185
2026-07-13,426.46,431.55,425.52,429.09,3862468,28.309902,20.3419047,7.9679973
