date,open,high,low,close,volume,fast_line,signal_line,macd_histogram
2025-09-15,103.65,106.11,102.09,102.33,100281714,2.2686799,2.0196437,0.2490363
2025-09-22,102.45,103.51,101.33,103.16,62638450,2.3989426,2.0955034,0.3034391
2025-09-29,103.05,103.94,99.87,102.07,72966160,2.3867103,2.1537448,0.2329655
2025-10-06,101.88,103.63,100.37,101.84,80453951,2.33158,2.1893119,0.1422682
2025-10-13,101.37,109.58,101.07,107.73,93248740,2.7316736,2.2977842,0.4338894
2025-10-20,107.85,108.25,105.51,106.17,55503643,2.8895626,2.4161399,0.4734227
2025-10-27,106.34,106.36,100.18,101.18,75987356,2.5822727,2.4493665,0.1329062
2025-11-03,100.82,102.97,100.03,102.59,72919599,2.4245695,2.4444071,-0.0198376
2025-11-10,102.15,103.93,98.88,102.48,81286871,2.2646075,2.4084472,-0.1438396
2025-11-17,102.58,108.15,99.68,105.32,146847562,2.3400264,2.394763,-0.0547366
2025-11-24,105.36,110.7,103.76,110.51,90361847,2.7864654,2.4731035,0.3133619
2025-12-01,110.51,116.27,110.36,115.11,110288373,3.4714365,2.6727701,0.7986664
2025-12-08,114.57,116.95,112.3,116.7,110566069,4.0953718,2.9572904,1.1380814
2025-12-15,116.92,117.45,113.52,114.36,126054269,4.3508725,3.2360068,1.1148657
2025-12-22,114.01,114.32,110.55,111.74,59807249,4.2924656,3.4472986,0.845167
2025-12-29,111.59,112.79,111.12,112.76,50504157,4.2791558,3.61367,0.6654858
2026-01-05,112.82,115.46,109.81,114.53,108945561,4.3611592,3.7631679,0.5979913
2026-01-12,117.5,121.24,116.41,119.7,562872234,4.7881286,3.96816,0.8199686
2026-01-19,120.89,121.62,117.14,117.73,125499921,4.9109323,4.1567145,0.7542178
2026-01-26,117.81,119.41,115.48,119.14,97459351,5.0636596,4.3381035,0.7255561
2026-02-02,119.5,131.7,119.05,131.18,147871747,6.0860681,4.6876964,1.3983716
2026-02-09,131.42,134.65,126.39,133.89,128605257,7.0339258,5.1569423,1.8769835
2026-02-16,133.11,134.69,121.05,122.99,152625133,6.826875,5.4909288,1.3359461
2026-02-23,123.52,128.6,122.96,127.95,111013527,6.982526,5.7892483,1.1932778
2026-03-02,127.46,128.75,121.62,123.8,100163978,6.6938478,5.9701682,0.7236796
2026-03-09,123.69,126.68,122.28,126.52,93291715,6.6083723,6.097809,0.5105633
2026-03-16,126.76,127.19,118.02,119.02,135566405,5.8678046,6.0518081,-0.1840035
2026-03-23,120.48,124.27,119.04,122.89,89034179,5.5294361,5.9473337,-0.4178976
2026-03-30,123.71,125.9,122.84,125.79,70697263,5.4326582,5.8443986,-0.4117404
2026-04-06,125.81,129.69,121.33,126.77,74867687,5.373101,5.7501391,-0.3770381
2026-04-13,126.29,127.57,122.54,127.5,89921002,5.323441,5.6647995,-0.3413584
2026-04-20,127.87,132.46,127.32,129.92,86262780,5.4169161,5.6152228,-0.1983067
2026-04-27,129.62,133.37,125.91,131.6,80258605,5.5624375,5.6046657,-0.0422283
2026-05-04,130.41,131.75,128.66,130.43,67468591,5.519727,5.587678,-0.067951
2026-05-11,130.18,133.95,126.38,131.45,89944471,5.504729,5.5710882,-0.0663592
2026-05-18,131.52,135.16,118.91,120.27,145949141,4.5383946,5.3645495,-0.8261549
2026-05-25,120.68,121.05,114.71,115.75,114662964,3.3690056,4.9654407,-1.5964351
2026-06-01,114.72,120.89,112.73,118.88,145931746,2.6641111,4.5051748,-1.8410637
2026-06-08,118.24,121.86,117.53,121.04,103096875,2.2537907,4.0548979,-1.8011073
2026-06-15,119.74,122.94,116.8,117.18,102021028,1.5987102,3.5636604,-1.9649502
2026-06-22,116.96,120.4,115.09,115.69,118106024,0.9483911,3.0406065,-2.0922154
2026-06-29,116.47,116.8,107.25,111.84,113318615,0.1209515,2.4566755,-2.335724
2026-07-06,111.4,114.16,109.37,113.9,102282910,-0.3643753,1.8924654,-2.2568406
2026-07-13,114.72,118.09,112.07,114.24,97260757,-0.7133421,1.3713039,-2.084646
2026-07-20,113.96,114.4,106.79,109.47,103873451,-1.3591327,0.8252166,-2.1843493
2026-07-27,109.92,116.03,109.89,111.2,118902783,-1.7115997,0.3178533,-2.029453
2026-08-03,113.1,114.56,108.56,111.85,117031248,-1.9163917,-0.1289957,-1.787396
2026-08-10,111.08,116.45,110.76,115.27,89546772,-1.7821816,-0.4596329,-1.3225487
2026-08-17,114.33,116.87,102.15,103.7,201179949,-2.5796844,-0.8836432,-1.6960412
2026-08-24,104.14,106.6,102.27,103.09,140295584,-3.2237714,-1.3516688,-1.8721026
2026-08-31,103.08,109.35,102.84,107.14,127526786,-3.3685829,-1.7550516,-1.6135313
2026-09-07,106.78,107.21,105.16,107.15,72369100,-3.4428531,-2.0926119,-1.3502412
2026-09-14,108.08,109.74,107.86,108.09,43190006,-3.3868214,-2.3514538,-1.0353676
